 6.30957344e+04  4.69276153e+02 -5.03969392e+01 
 7.07945784e+04  4.67895896e+02 -5.63801111e+01 
 7.94328235e+04  4.66169750e+02 -6.30263357e+01 
 8.91250938e+04  4.64014671e+02 -7.03900529e+01 
 1.00000000e+05  4.61329734e+02 -7.85223074e+01 
 1.12201845e+05  4.57993425e+02 -8.74668328e+01 
 1.25892541e+05  4.53861204e+02 -9.72546623e+01 
 1.41253754e+05  4.48763795e+02 -1.07896964e+02 
 1.58489319e+05  4.42506947e+02 -1.19375883e+02 
 1.77827941e+05  4.34873646e+02 -1.31633370e+02 
 1.99526231e+05  4.25630089e+02 -1.44558390e+02 
 2.23872114e+05  4.14536873e+02 -1.57973523e+02 
 2.51188643e+05  4.01366760e+02 -1.71622936e+02 
 2.81838293e+05  3.85929739e+02 -1.85164731e+02 
 3.16227766e+05  3.68104724e+02 -1.98171720e+02 
 3.54813389e+05  3.47874968e+02 -2.10144961e+02 
 3.98107171e+05  3.25361464e+02 -2.20543386e+02 
 4.46683592e+05  3.00846175e+02 -2.28829945e+02 
 5.01187234e+05  2.74776152e+02 -2.34529950e+02 
 5.62341325e+05  2.47742061e+02 -2.37292010e+02 
 6.30957344e+05  2.20430343e+02 -2.36938393e+02 
 7.07945784e+05  1.93555972e+02 -2.33492122e+02 
 7.94328235e+05  1.67789169e+02 -2.27173405e+02 
 8.91250938e+05  1.43691542e+02 -2.18366397e+02 
 1.00000000e+06  1.21673858e+02 -2.07565247e+02 
 1.12201845e+06  1.01980653e+02 -1.95312681e+02 
 1.25892541e+06  8.46993667e+01 -1.82143744e+02 
 1.41253754e+06  6.97866521e+01 -1.68543194e+02 
 1.58489319e+06  5.71028783e+01 -1.54919666e+02 
 1.77827941e+06  4.64471008e+01 -1.41595368e+02 
 1.99526231e+06  3.75874269e+01 -1.28807590e+02 
 2.23872114e+06  3.02844315e+01 -1.16717656e+02 
 2.51188643e+06  2.43073442e+01 -1.05423497e+02 
 2.81838293e+06  1.94439355e+01 -9.49730400e+01 
 3.16227766e+06  1.55055194e+01 -8.53766977e+01 
 3.54813389e+06  1.23285149e+01 -7.66181053e+01 
 3.98107171e+06  9.77379563e+00 -6.86628173e+01 
 4.46683592e+06  7.72476851e+00 -6.14650508e+01 
 5.01187234e+06  6.08484174e+00 -5.49727172e+01 
 5.62341325e+06  4.77471476e+00 -4.91310508e+01 
 6.30957344e+06  3.72974986e+00 -4.38851356e+01 
 7.07945784e+06  2.89756656e+00 -3.91815955e+01 
 7.94328235e+06  2.23592125e+00 -3.49696676e+01 
 8.91250938e+06  1.71088645e+00 -3.12018338e+01 
 1.00000000e+07  1.29531665e+00 -2.78341421e+01 
 1.12201845e+07  9.67573034e-01 -2.48263210e+01 
 1.25892541e+07  7.10473418e-01 -2.21417598e+01 
 1.41253754e+07  5.10431553e-01 -1.97474125e+01 
 1.58489319e+07  3.56749696e-01 -1.76136661e+01 
 1.77827941e+07  2.41027010e-01 -1.57142075e+01 
 1.99526231e+07  1.56641854e-01 -1.40259138e+01 
 2.23872114e+07  9.82548494e-02 -1.25287848e+01 
 2.51188643e+07  6.12573521e-02 -1.12059228e+01 
 2.81838293e+07  4.10525550e-02 -1.00435264e+01 
 3.16227766e+07  3.20095343e-02 -9.03077005e+00 
 3.54813389e+07  2.59250841e-02 -8.15922181e+00 
 3.98107171e+07  1.00619343e-02 -7.42102970e+00 
 4.46683592e+07 -3.41833604e-02 -6.80468579e+00 
 5.01187234e+07 -1.28660438e-01 -6.28810280e+00 
 5.62341325e+07 -2.87372507e-01 -5.83417295e+00 
 6.30957344e+07 -5.02091508e-01 -5.40110491e+00 
 7.07945784e+07 -7.47763032e-01 -4.96436749e+00 
 7.94328235e+07 -1.00585494e+00 -4.51517794e+00 
 8.91250938e+07 -1.26118380e+00 -4.04082857e+00 
 1.00000000e+08 -1.48616136e+00 -3.53346348e+00 
 1.12201845e+08 -1.65277061e+00 -3.00509848e+00 
 1.25892541e+08 -1.74830072e+00 -2.47891583e+00 
 1.41253754e+08 -1.77394797e+00 -1.97558690e+00 
 1.58489319e+08 -1.73688227e+00 -1.50918929e+00 
 1.77827941e+08 -1.64554425e+00 -1.08920384e+00 
 1.99526231e+08 -1.50887367e+00 -7.22993240e-01 
 2.23872114e+08 -1.33722621e+00 -4.16595506e-01 
 2.51188643e+08 -1.14305902e+00 -1.73893023e-01 
 2.81838293e+08 -9.40399408e-01  4.84771187e-03 
 3.16227766e+08 -7.43105571e-01  1.23879325e-01 
 3.54813389e+08 -5.62726557e-01  1.91585284e-01 
 3.98107171e+08 -4.06985971e-01  2.18904912e-01 
